Date/Time	Latitude	Longitude	EsEs [m]	Snow thick [m]	EsEs unc [m]	Snow thick unc [m]	Dist rel atm/snow IF [m]	T atm/snow IF [°C]	Thermistor atm/snow IF	Dist rel snow/ice IF [m]	T snow/ice IF [°C]	Thermistor snow/ice IF	Dist rel ice/oce IF [m]	T ice/oce IF [°C]	Thermistor ice/oce IF
2019-10-07T05:00:16	84.9922	135.1443	1.100	0.100	0.06	0.04							-1.14	-1.81	85
2019-10-07T11:00:16	84.9783	135.3705	1.100	0.100	0.06	0.04	0.06	-7.38	25	-0.0	-3.19	30	-1.14	-1.81	85
2019-10-07T17:00:16	84.9593	135.7256	1.097	0.100	0.08	0.08	0.06	-8.66	25	-0.0	-4.50	30	-1.14	-1.81	85
2019-10-07T23:00:16	84.9376	136.1239	1.095	0.100	0.08	0.08	0.06	-6.88	25	-0.0	-4.69	30	-1.14	-1.81	85
2019-10-08T05:00:16	84.9099	136.7047	1.093	0.102	0.08	0.08	0.06	-3.44	25	-0.0	-3.38	30	-1.14	-1.81	85
2019-10-08T11:00:16	84.8735	136.9910	1.092	0.104	0.08	0.08	0.06	-3.44	25	-0.0	-2.94	30	-1.14	-1.81	85
2019-10-08T17:00:16	84.8457	136.9709	1.091	0.105	0.08	0.06	0.06	-8.25	25	-0.0	-3.31	30	-1.14	-1.81	85
2019-10-08T23:00:17	84.8247	136.9085	1.088	0.108	0.08	0.06	0.06	-8.50	25	-0.0	-3.69	30	-1.12	-1.81	84
2019-10-09T05:00:16	84.8202	136.7800	1.088	0.108	0.08	0.08	0.06	-12.56	25	-0.0	-4.44	30	-1.12	-1.81	84
2019-10-09T11:00:16	84.8146	136.7146	1.087	0.110	0.08	0.08	0.08	-12.50	24	-0.0	-5.00	30	-1.12	-1.81	84
2019-10-09T17:00:16	84.8162	136.6539	1.085	0.112	0.08	0.08	0.08	-12.19	24	-0.0	-5.12	30	-1.12	-1.81	84
2019-10-09T23:00:16	84.8231	136.5276	1.083	0.113	0.08	0.08	0.08	-13.81	24	-0.0	-5.48	30	-1.12	-1.81	84
2019-10-10T05:00:16	84.8335	136.2622	1.082	0.115	0.06	0.08	0.08	-10.69	24	-0.0	-4.94	30	-1.12	-1.84	84
2019-10-10T11:00:16	84.8302	136.1034	1.080	0.117	0.06	0.06	0.08	-14.31	24	-0.0	-5.88	30	-1.12	-1.81	84
2019-10-10T17:00:17	84.8237	136.0304	1.080	0.120	0.08	0.06	0.08	-18.31	24	-0.0	-6.69	30	-1.12	-1.81	84
2019-10-10T23:00:16	84.8072	136.2144	1.080	0.120	0.08	0.08	0.08	-15.12	24	-0.0	-6.44	30	-1.12	-1.81	84
2019-10-11T05:00:16	84.7828	136.3433	1.080	0.120	0.08	0.08	0.08	-16.50	24	-0.0	-6.75	30	-1.12	-1.81	84
2019-10-11T11:00:16	84.7568	136.4625	1.080	0.120	0.08	0.08	0.08	-14.12	24	-0.0	-6.50	30	-1.12	-1.81	84
2019-10-11T17:00:16	84.7456	136.5491	1.080	0.120	0.08	0.08	0.08	-14.38	24	-0.0	-6.25	30	-1.12	-1.81	84
2019-10-11T23:00:16	84.7390	136.6369	1.080	0.120	0.08	0.08	0.08	-11.19	24	-0.0	-6.19	30	-1.12	-1.81	84
2019-10-12T05:00:16	84.7586	136.6370	1.080	0.120	0.08	0.06	0.08	-10.38	24	-0.0	-6.00	30	-1.12	-1.81	84
2019-10-12T11:00:16	84.7688	136.5118	1.080	0.122	0.08	0.06	0.08	-15.31	24	-0.0	-5.62	30	-1.12	-1.81	84
2019-10-12T17:00:17	84.7767	136.2745	1.080	0.125	0.08	0.08	0.08	-17.44	24	-0.0	-6.00	30	-1.12	-1.81	84
2019-10-12T23:00:16	84.7727	136.0714	1.080	0.125	0.08	0.08	0.08	-12.88	24	-0.0	-6.00	30	-1.12	-1.81	84
2019-10-13T05:00:17	84.7713	135.8365	1.080	0.127	0.08	0.08	0.08	-18.94	24	-0.0	-6.69	30	-1.12	-1.81	84
2019-10-13T11:00:16	84.7605	135.6573	1.080	0.128	0.08	0.08	0.08	-25.31	24	-0.0	-7.81	30	-1.12	-1.81	84
2019-10-13T17:00:16	84.7472	135.6391	1.080	0.130	0.08	0.08	0.10	-21.00	23	-0.0	-8.25	30	-1.12	-1.81	84
2019-10-13T23:00:16	84.7180	135.5661	1.080	0.132	0.08	0.06	0.10	-15.75	23	-0.0	-7.12	30	-1.12	-1.81	84
2019-10-14T05:00:16	84.7003	135.4121	1.080	0.133	0.08	0.06	0.10	-16.94	23	-0.0	-6.81	30	-1.12	-1.81	84
2019-10-14T11:00:16	84.6822	135.3054	1.080	0.135	0.08	0.08	0.10	-15.12	23	-0.0	-6.56	30	-1.12	-1.81	84
2019-10-14T17:30:16	84.6763	135.2263	1.080	0.138	0.08	0.08	0.10	-24.38	23	-0.0	-8.31	30	-1.12	-1.81	84
2019-10-14T23:30:16	84.6723	135.2319	1.080	0.140	0.08	0.08	0.10	-25.12	23	-0.0	-8.81	30	-1.12	-1.81	84
2019-10-15T05:30:16	84.6780	135.1974	1.080	0.140	0.08	0.06	0.10	-25.75	23	-0.0	-9.12	30	-1.12	-1.81	84
2019-10-15T11:30:16	84.6777	135.1351	1.080	0.140	0.08	0.06	0.10	-26.75	23	-0.0	-9.50	30	-1.12	-1.81	84
2019-10-15T17:30:16	84.6823	135.0292	1.080	0.140	0.08	0.08	0.10	-18.94	23	-0.0	-8.56	30	-1.12	-1.81	84
2019-10-15T23:30:16	84.6803	134.7922	1.080	0.140	0.08	0.08	0.10	-15.31	23	-0.0	-7.25	30	-1.12	-1.81	84
2019-10-16T05:30:16	84.6832	134.5432	1.080	0.140	0.08	0.08	0.10	-15.94	23	-0.0	-6.81	30	-1.12	-1.81	84
2019-10-16T11:30:16	84.6773	134.3283	1.080	0.140	0.08	0.08	0.10	-16.00	23	-0.0	-7.38	30	-1.12	-1.81	84
2019-10-16T17:30:16	84.6804	134.1157	1.080	0.140	0.08	0.08	0.10	-13.06	23	-0.0	-6.69	30	-1.12	-1.81	84
2019-10-16T23:30:16	84.6744	133.9460	1.080	0.138	0.06	0.06	0.10	-11.44	23	-0.0	-6.12	30	-1.12	-1.81	84
2019-10-17T05:30:16	84.6737	133.7615	1.080	0.137	0.06	0.06	0.10	-13.06	23	-0.0	-6.06	30	-1.12	-1.81	84
2019-10-17T11:30:16	84.6683	133.7216	1.080	0.135	0.08	0.08	0.10	-12.56	23	-0.0	-6.06	30	-1.12	-1.81	84
2019-10-17T17:30:16	84.6703	133.7401	1.080	0.133	0.08	0.08	0.10	-13.62	23	-0.0	-6.31	30	-1.12	-1.81	84
2019-10-17T23:30:16	84.6768	133.8179	1.080	0.132	0.08	0.08	0.10	-14.25	23	-0.0	-6.56	30	-1.12	-1.81	84
2019-10-18T05:30:16	84.7012	133.8820	1.080	0.130	0.08	0.08	0.08	-15.88	24	-0.0	-7.44	30	-1.12	-1.81	84
2019-10-18T11:30:16	84.7260	133.9449	1.080	0.128	0.08	0.08	0.08	-15.31	24	-0.0	-8.12	30	-1.12	-1.81	84
2019-10-18T17:30:16	84.7644	134.0070	1.080	0.127	0.08	0.08	0.08	-14.38	24	-0.0	-8.31	30	-1.12	-1.81	84
2019-10-18T23:30:16	84.7950	134.0675	1.080	0.125	0.08	0.08	0.08	-15.12	24	-0.0	-8.25	30	-1.12	-1.81	84
2019-10-19T05:30:16	84.8219	134.0508	1.080	0.123	0.08	0.08	0.08	-18.62	24	-0.0	-8.06	30	-1.12	-1.81	84
2019-10-19T11:30:16	84.8360	133.9582	1.080	0.122	0.08	0.08	0.08	-12.19	24	-0.0	-7.56	30	-1.12	-1.81	84
2019-10-19T17:30:16	84.8562	133.8365	1.080	0.120	0.08	0.06	0.08	-12.50	24	-0.0	-6.69	30	-1.12	-1.81	84
2019-10-19T23:30:16	84.8625	133.7138	1.082	0.122	0.08	0.06	0.08	-13.06	24	-0.0	-6.19	30	-1.12	-1.81	84
2019-10-20T05:30:16	84.8795	133.6197	1.083	0.123	0.08	0.08	0.08	-13.19	24	-0.0	-6.12	30	-1.12	-1.81	84
2019-10-20T11:30:16	84.8937	133.5691	1.085	0.125	0.08	0.08	0.08	-14.50	24	-0.0	-6.19	30	-1.12	-1.85	84
2019-10-20T17:30:16	84.9215	133.6176	1.087	0.125	0.08	0.08	0.08	-10.62	24	-0.0	-6.25	30	-1.12	-1.81	84
2019-10-20T23:30:16	84.9447	133.7034	1.088	0.125	0.08	0.08	0.08	-10.69	24	-0.0	-6.73	30	-1.12	-1.85	84
2019-10-21T05:30:16	84.9894	133.6591	1.090	0.125	0.08	0.06	0.10	-11.50	23	-0.0	-6.38	30	-1.14	-1.83	85
2019-10-21T11:30:16	85.0221	133.4769	1.092	0.125	0.08	0.06	0.10	-9.50	23	-0.0	-6.38	30	-1.14	-1.81	85
2019-10-21T17:30:16	85.0649	133.2179	1.093	0.125	0.08	0.08	0.10	-9.06	23	-0.0	-6.06	30	-1.14	-1.81	85
2019-10-21T23:30:16	85.1010	132.9185	1.095	0.125	0.08	0.08	0.08	-7.19	24	-0.0	-5.62	30	-1.14	-1.81	85
2019-10-22T05:30:16	85.1483	132.6033	1.097	0.125	0.08	0.08	0.08	-7.25	24	-0.0	-5.38	30	-1.14	-1.81	85
2019-10-22T11:30:16	85.1789	132.2243	1.098	0.125	0.08	0.08	0.08	-9.25	24	-0.0	-5.38	30	-1.14	-1.81	85
2019-10-22T17:30:16	85.2074	131.8421	1.100	0.125	0.08	0.08	0.08	-9.00	24	-0.0	-5.62	30	-1.14	-1.81	85
2019-10-22T23:30:16	85.2282	131.5057	1.100	0.123	0.08	0.06	0.08	-9.25	24	-0.0	-5.50	30	-1.14	-1.81	85
2019-10-23T05:30:16	85.2486	131.1628	1.100	0.122	0.08	0.06	0.08	-10.94	24	-0.0	-5.69	30	-1.14	-1.83	85
2019-10-23T11:30:17	85.2588	130.8931	1.100	0.120	0.08	0.08	0.08	-14.68	24	-0.0	-6.38	30	-1.14	-1.83	85
2019-10-23T17:30:17	85.2709	130.7145	1.100	0.120	0.08	0.08	0.08	-11.62	24	-0.0	-6.44	30	-1.14	-1.83	85
2019-10-23T23:30:17	85.2815	130.5252	1.100	0.120	0.08	0.08	0.08	-18.56	24	-0.0	-6.55	30	-1.14	-1.81	85
2019-10-24T05:30:17	85.3026	130.3223	1.100	0.120	0.08	0.08	0.08	-11.44	24	-0.0	-6.38	30	-1.14	-1.81	85
2019-10-24T11:30:17	85.3208	130.0634	1.100	0.120	0.08	0.08	0.08	-13.06	24	-0.0	-6.25	30	-1.14	-1.81	85
2019-10-24T17:30:17	85.3439	129.7579	1.100	0.120	0.08	0.06	0.08	-13.62	24	-0.0	-6.12	30	-1.14	-1.81	85
2019-10-24T23:30:17	85.3578	129.4635	1.100	0.121	0.08	0.06	0.08	-14.94	24	-0.0	-6.31	30	-1.14	-1.81	85
2019-10-25T05:30:17	85.3692	129.2222	1.100	0.123	0.08	0.08	0.08	-19.31	24	-0.0	-6.44	30	-1.14	-1.81	85
2019-10-25T11:30:16	85.3719	129.0589	1.100	0.123	0.08	0.08	0.08	-23.12	24	-0.0	-7.12	30	-1.14	-1.83	85
2019-10-25T17:30:16	85.3760	128.9116	1.100	0.125	0.08	0.08	0.08	-19.06	24	-0.0	-7.44	30	-1.14	-1.83	85
2019-10-25T23:30:16	85.3761	128.7723	1.100	0.127	0.08	0.08	0.08	-23.31	24	-0.0	-7.50	30	-1.14	-1.83	85
2019-10-26T05:30:17	85.3792	128.6652	1.100	0.129	0.08	0.08	0.08	-23.19	24	-0.0	-7.94	30	-1.14	-1.83	85
2019-10-26T11:30:16	85.3812	128.5467	1.100	0.130	0.08	0.08	0.10	-25.31	23	-0.0	-8.12	30	-1.14	-1.83	85
2019-10-26T17:30:16	85.3879	128.4246	1.100	0.132	0.08	0.08	0.10	-27.31	23	-0.0	-8.75	30	-1.14	-1.83	85
