Date/Time	Latitude	Longitude	EsEs [m]	Snow thick [m]	EsEs unc [m]	Snow thick unc [m]	Dist rel atm/snow IF [m]	T atm/snow IF [°C]	Thermistor atm/snow IF	Dist rel snow/ice IF [m]	T snow/ice IF [°C]	Thermistor snow/ice IF	Dist rel ice/oce IF [m]	T ice/oce IF [°C]	Thermistor ice/oce IF
2019-10-10T04:00:16	85.1284	133.1926	1.740	0.155	0.06	0.06									
2019-10-10T10:00:16	85.1258	133.0217	1.740	0.152	0.04	0.04				0.0	-4.19	35			
2019-10-10T16:00:16	85.1187	132.9327	1.740	0.150	0.06	0.06	0.16	-19.88	27	0.0	-6.62	35	-1.74	-1.75	122
2019-10-10T22:00:16	85.1065	133.1483	1.740	0.149	0.08	0.08	0.16	-15.19	27	0.0	-7.94	35	-1.74	-1.81	122
2019-10-11T04:00:16	85.0807	133.2833	1.740	0.147	0.08	0.08	0.16	-17.50	27	0.0	-8.31	35	-1.74	-1.81	122
2019-10-11T10:00:16	85.0558	133.4410	1.740	0.147	0.08	0.08	0.14	-15.12	28	0.0	-8.69	35	-1.74	-1.81	122
2019-10-11T16:00:16	85.0416	133.5047	1.740	0.146	0.08	0.08	0.14	-13.94	28	0.0	-7.88	35	-1.74	-1.81	122
2019-10-11T22:00:16	85.0359	133.6402	1.740	0.145	0.08	0.08	0.14	-12.00	28	0.0	-8.38	35	-1.74	-1.81	122
2019-10-12T04:00:16	85.0531	133.6101	1.740	0.147	0.08	0.08	0.14	-11.56	28	0.0	-7.62	35	-1.74	-1.81	122
2019-10-12T10:00:16	85.0642	133.5196	1.740	0.147	0.08	0.06	0.14	-16.50	28	0.0	-8.06	35	-1.74	-1.81	122
2019-10-12T16:00:17	85.0711	133.2492	1.740	0.147	0.08	0.06	0.14	-19.25	28	0.0	-9.19	35	-1.74	-1.81	122
2019-10-12T22:00:16	85.0685	133.0551	1.740	0.147	0.06	0.08	0.14	-13.19	28	0.0	-9.38	35	-1.74	-1.81	122
2019-10-13T04:00:17	85.0660	132.7740	1.740	0.150	0.06	0.08	0.14	-20.50	28	0.0	-10.56	35	-1.74	-1.81	122
2019-10-13T10:00:16	85.0552	132.6127	1.740	0.150	0.08	0.08	0.16	-24.56	27	0.0	-11.81	35	-1.74	-1.81	122
2019-10-13T16:00:16	85.0389	132.5599	1.740	0.152	0.08	0.08	0.16	-21.38	27	0.0	-11.94	35	-1.74	-1.81	122
2019-10-13T22:00:16	85.0082	132.4100	1.740	0.153	0.08	0.08	0.16	-15.00	27	0.0	-10.62	35	-1.74	-1.81	122
2019-10-14T04:00:16	84.9855	132.1702	1.740	0.155	0.08	0.08	0.16	-16.69	27	0.0	-10.00	35	-1.74	-1.81	122
2019-10-14T10:00:16	84.9663	132.0752	1.740	0.157	0.08	0.08	0.16	-16.25	27	0.0	-9.62	35	-1.74	-1.81	122
2019-10-14T16:00:16	84.9587	131.9725	1.740	0.158	0.08	0.06	0.16	-23.56	27	0.0	-11.19	35	-1.74	-1.81	122
