Date/Time	Latitude	Longitude	EsEs [m]	Snow thick [m]	EsEs unc [m]	Snow thick unc [m]	Dist rel atm/snow IF [m]	T atm/snow IF [°C]	Thermistor atm/snow IF	Dist rel snow/ice IF [m]	T snow/ice IF [°C]	Thermistor snow/ice IF	Dist rel ice/oce IF [m]	T ice/oce IF [°C]	Thermistor ice/oce IF
2019-10-09T08:00:15	85.0511	138.9928	0.960	0.168	0.06	0.04	0.14	-11.75	25						
2019-10-09T14:00:15	85.0473	138.8939	0.953	0.169	0.04	0.06	0.14	-11.38	25	-0.0	-3.19	33			
2019-10-09T20:00:15	85.0546	138.8252	0.953	0.169	0.06	0.08	0.14	-17.69	25	-0.0	-4.06	33	-0.98	-1.75	81
2019-10-10T02:00:15	85.0651	138.5620	0.951	0.168	0.08	0.08	0.14	-10.19	25	-0.0	-4.44	33	-0.98	-1.75	81
2019-10-10T08:00:14	85.0724	138.3496	0.950	0.167	0.08	0.08	0.16	-13.69	24	-0.0	-4.62	33	-0.98	-1.75	81
2019-10-10T14:00:15	85.0642	138.1993	0.948	0.166	0.08	0.06	0.16	-19.31	24	-0.0	-4.94	33	-0.98	-1.75	81
2019-10-10T20:00:15	85.0543	138.3011	0.948	0.166	0.08	0.06	0.16	-14.81	24	-0.0	-5.56	33	-0.96	-1.75	80
2019-10-11T02:00:14	85.0283	138.4777	0.947	0.165	0.08	0.08	0.14	-15.00	25	-0.0	-5.12	33	-0.96	-1.75	80
2019-10-11T08:00:15	85.0053	138.6046	0.946	0.168	0.08	0.08	0.14	-14.62	25	-0.0	-5.38	33	-0.96	-1.75	80
2019-10-11T14:00:15	84.9849	138.6349	0.945	0.168	0.08	0.06	0.14	-11.19	25	-0.0	-5.50	33	-0.96	-1.75	80
2019-10-11T20:00:15	84.9747	138.7922	0.942	0.169	0.08	0.06	0.14	-13.75	25	-0.0	-5.44	33	-0.96	-1.75	80
2019-10-12T02:00:14	84.9797	138.8017	0.942	0.170	0.08	0.08	0.14	-11.56	25	-0.0	-5.38	33	-0.96	-1.75	80
2019-10-12T08:00:15	84.9987	138.8098	0.940	0.171	0.06	0.08	0.14	-17.38	25	-0.0	-5.50	33	-0.96	-1.75	80
2019-10-12T14:00:15	85.0069	138.5561	0.940	0.171	0.06	0.08	0.16	-16.75	24	-0.0	-6.06	33	-0.96	-1.75	80
2019-10-12T20:00:14	85.0094	138.3774	0.940	0.172	0.08	0.06	0.16	-14.62	24	-0.0	-6.25	33	-0.96	-1.75	80
2019-10-13T02:00:15	85.0081	138.0810	0.940	0.177	0.08	0.06	0.16	-21.56	24	-0.0	-6.50	33	-0.96	-1.75	80
2019-10-13T08:00:15	85.0013	137.9045	0.940	0.178	0.08	0.08	0.16	-22.75	24	-0.0	-7.19	33	-0.96	-1.75	80
2019-10-13T14:00:15	84.9901	137.7758	0.940	0.183	0.08	0.08	0.16	-23.06	24	-0.0	-7.38	33	-0.96	-1.75	80
2019-10-13T20:00:14	84.9695	137.7649	0.940	0.183	0.08	0.08	0.16	-16.00	24	-0.0	-6.88	33	-0.96	-1.75	80
2019-10-14T02:00:15	84.9512	137.4952	0.940	0.185	0.08	0.08	0.16	-14.44	24	-0.0	-6.38	33	-0.96	-1.78	80
2019-10-14T08:00:15	84.9355	137.3715	0.940	0.185	0.08	0.08	0.18	-18.56	23	-0.0	-6.31	33	-0.96	-1.78	80
2019-10-14T14:00:14	84.9223	137.2249	0.940	0.185	0.08	0.06	0.18	-22.38	23	-0.0	-6.69	33	-0.96	-1.78	80
2019-10-14T20:00:15	84.9175	137.2556	0.940	0.185	0.08	0.06	0.18	-22.19	23	-0.0	-7.88	33	-0.96	-1.75	80
2019-10-15T02:00:14	84.9179	137.2037	0.940	0.185	0.08	0.08	0.16	-24.25	24	-0.0	-8.44	33	-0.96	-1.75	80
2019-10-15T08:00:15	84.9213	137.2104	0.940	0.185	0.08	0.08	0.16	-26.06	24	-0.0	-9.00	33	-0.96	-1.75	80
2019-10-15T14:00:15	84.9230	137.0830	0.940	0.185	0.08	0.08	0.16	-21.75	24	-0.0	-9.25	33	-0.96	-1.75	80
2019-10-15T20:00:15	84.9244	137.0102	0.940	0.185	0.08	0.06	0.16	-15.88	24	-0.0	-8.50	33	-0.96	-1.75	80
2019-10-16T02:00:15	84.9234	136.7178	0.938	0.182	0.08	0.06	0.16	-16.06	24	-0.0	-7.62	33	-0.96	-1.75	80
2019-10-16T08:00:15	84.9215	136.5765	0.935	0.181	0.08	0.08	0.16	-16.38	24	-0.0	-7.44	33	-0.96	-1.75	80
2019-10-16T14:00:15	84.9189	136.3623	0.934	0.180	0.08	0.08	0.16	-13.31	24	-0.0	-7.12	33	-0.96	-1.75	80
2019-10-16T20:00:14	84.9180	136.2507	0.933	0.180	0.08	0.08	0.16	-11.94	24	-0.0	-6.75	33	-0.96	-1.81	80
2019-10-17T02:00:15	84.9131	136.0165	0.932	0.180	0.08	0.06	0.16	-11.94	24	-0.0	-6.44	33	-0.96	-1.81	80
2019-10-17T08:00:15	84.9106	135.9442	0.929	0.180	0.08	0.06	0.16	-12.50	24	-0.0	-6.31	33	-0.94	-1.81	79
2019-10-17T14:00:15	84.9063	135.8713	0.928	0.180	0.08	0.08	0.16	-12.69	24	-0.0	-6.25	33	-0.94	-1.81	79
2019-10-17T20:00:14	84.9087	135.9671	0.927	0.180	0.06	0.08	0.16	-13.56	24	-0.0	-6.31	33	-0.94	-1.81	79
2019-10-18T02:00:15	84.9224	136.0003	0.928	0.180	0.06	0.08	0.16	-14.12	24	-0.0	-6.44	33	-0.94	-1.81	79
2019-10-18T08:00:15	84.9469	136.1144	0.925	0.180	0.08	0.08	0.16	-17.44	24	-0.0	-6.88	33	-0.94	-1.81	79
2019-10-18T14:00:15	84.9789	136.1247	0.927	0.180	0.08	0.08	0.16	-15.19	24	-0.0	-7.12	33	-0.94	-1.81	79
2019-10-18T20:00:14	85.0170	136.2409	0.927	0.180	0.08	0.08	0.16	-15.38	24	-0.0	-7.19	33	-0.94	-1.81	79
2019-10-19T02:00:15	85.0513	136.2369	0.928	0.180	0.08	0.08	0.16	-16.12	24	-0.0	-7.38	33	-0.94	-1.81	79
2019-10-19T08:00:15	85.0702	136.2164	0.931	0.180	0.08	0.06	0.16	-18.81	24	-0.0	-7.50	33	-0.96	-1.81	80
2019-10-19T14:00:14	85.0909	136.0463	0.932	0.180	0.08	0.06	0.16	-13.94	24	-0.0	-7.12	33	-0.96	-1.81	80
2019-10-19T20:00:15	85.1056	135.8921	0.933	0.180	0.08	0.08	0.16	-11.40	24	-0.0	-7.00	33	-0.96	-1.81	80
2019-10-20T02:00:15	85.1170	135.7249	0.935	0.177	0.08	0.08	0.16	-13.12	24	-0.0	-6.44	33	-0.96	-1.75	80
2019-10-20T08:00:14	85.1334	135.6667	0.937	0.177	0.08	0.06	0.16	-13.62	24	-0.0	-6.69	33	-0.96	-1.75	80
2019-10-20T14:00:15	85.1545	135.5870	0.938	0.175	0.08	0.06	0.16	-15.69	24	-0.0	-6.56	33	-0.96	-1.81	80
2019-10-20T20:00:15	85.1841	135.7152	0.940	0.173	0.08	0.08	0.16	-15.56	24	-0.0	-6.50	33	-0.96	-1.75	80
2019-10-21T02:00:15	85.2139	135.7007	0.940	0.171	0.08	0.06	0.16	-9.88	24	-0.0	-6.84	33	-0.96	-1.75	80
2019-10-21T08:00:15	85.2525	135.6683	0.940	0.170	0.08	0.06	0.14	-11.31	25	-0.0	-6.56	33	-0.96	-1.81	80
2019-10-21T14:00:14	85.2909	135.4046	0.940	0.168	0.08	0.08	0.14	-9.56	25	-0.0	-6.44	33	-0.96	-1.81	80
2019-10-21T20:00:15	85.3296	135.1589	0.940	0.165	0.08	0.08	0.14	-8.94	25	-0.0	-6.00	33	-0.96	-1.81	80
