Date/Time	Latitude	Longitude	EsEs [m]	Snow thick [m]	EsEs unc [m]	Snow thick unc [m]	Dist rel atm/snow IF [m]	T atm/snow IF [°C]	Thermistor atm/snow IF	Dist rel snow/ice IF [m]	T snow/ice IF [°C]	Thermistor snow/ice IF	Dist rel ice/oce IF [m]	T ice/oce IF [°C]	Thermistor ice/oce IF
2019-10-09T05:48:05	85.1238	136.1450	0.520	0.080	0.08	0.08									
2019-10-09T11:00:16	85.1169	136.0845	0.520	0.080	0.08	0.06									
2019-10-09T17:00:16	85.1190	135.9967	0.520	0.080	0.06	0.06	0.06	-12.69	32						
2019-10-09T23:00:16	85.1245	135.8382	0.520	0.080	0.04	0.06	0.06	-13.37	32				-0.56	-1.88	63
2019-10-10T05:00:17	85.1334	135.5199	0.520	0.080	0.06	0.06	0.04	-11.81	33	-0.0	-6.38	37	-0.56	-1.88	63
2019-10-10T11:00:16	85.1295	135.3626	0.520	0.080	0.08	0.08	0.04	-12.69	33	-0.0	-7.12	37	-0.56	-1.88	63
2019-10-10T17:00:16	85.1232	135.3083	0.520	0.083	0.08	0.08	0.04	-17.00	33	-0.0	-9.19	37	-0.56	-1.88	63
2019-10-10T23:00:16	85.1058	135.5361	0.520	0.084	0.08	0.08	0.04	-15.06	33	-0.0	-9.12	37	-0.56	-1.88	63
2019-10-11T05:00:16	85.0818	135.6489	0.520	0.086	0.08	0.06	0.04	-16.88	33	-0.0	-10.00	37	-0.56	-1.88	63
2019-10-11T11:00:16	85.0554	135.7739	0.520	0.087	0.08	0.06	0.04	-14.88	33	-0.0	-9.50	37	-0.56	-1.88	63
2019-10-11T17:00:16	85.0442	135.8623	0.520	0.088	0.08	0.08	0.04	-14.88	33	-0.0	-8.69	37	-0.56	-1.88	63
2019-10-11T23:00:16	85.0379	135.9684	0.520	0.090	0.08	0.08	0.06	-11.88	32	-0.0	-8.06	37	-0.56	-1.88	63
2019-10-12T05:00:16	85.0575	135.9673	0.520	0.092	0.08	0.08	0.06	-13.06	32	-0.0	-7.69	37	-0.56	-1.88	63
2019-10-12T11:00:16	85.0671	135.8377	0.520	0.093	0.08	0.06	0.06	-16.75	32	-0.0	-8.75	37	-0.56	-1.88	63
2019-10-12T17:00:16	85.0748	135.5894	0.520	0.095	0.08	0.06	0.06	-18.44	32	-0.0	-9.12	37	-0.56	-1.88	63
2019-10-12T23:00:16	85.0710	135.3457	0.520	0.097	0.08	0.08	0.06	-17.50	32	-0.0	-8.25	37	-0.56	-1.88	63
2019-10-13T05:00:17	85.0687	135.0959	0.520	0.100	0.08	0.08	0.06	-22.19	32	-0.0	-10.19	37	-0.56	-1.88	63
2019-10-13T11:00:16	85.0573	134.9296	0.520	0.100	0.08	0.08	0.06	-21.38	32	-0.0	-11.94	37	-0.56	-1.88	63
2019-10-13T17:00:16	85.0415	134.9174	0.520	0.100	0.08	0.08	0.06	-17.62	32	-0.0	-12.06	37	-0.56	-1.88	63
2019-10-13T23:00:16	85.0119	134.7195	0.520	0.100	0.08	0.06	0.06	-14.75	32	-0.0	-10.00	37	-0.56	-1.88	63
2019-10-14T05:00:16	84.9935	134.5141	0.520	0.100	0.08	0.06	0.06	-16.88	32	-0.0	-10.38	37	-0.56	-1.88	63
